ID,Name,Type,Bac Strain,Lab,Start Date,Active,Metadata Complete,Experiment Complete,Experiment Validated
50002700,PS_100121,manual_lifespan,OP50-1,Phillips,2021-10-01,0,1,1,1
50002720,PS_091721,manual_lifespan,OP50-1,Phillips,2021-09-17,0,1,1,1
50002740,PS_092421,manual_lifespan,OP50-1,Phillips,2021-09-24,0,1,1,1
50002760,PS_102921,manual_lifespan,OP50-1,Phillips,2021-10-29,0,1,1,1
50002780,PS_110521_sulf,manual_lifespan,OP50-1,Phillips,2021-11-05,0,1,1,1
50002800,PS_110521_ATRA,manual_lifespan,OP50-1,Phillips,2021-11-05,0,1,1,1
50002820,LS_092721,manual_lifespan,OP50-1,Lithgow,2021-09-27,0,1,0,0
50002840,LS_101121,manual_lifespan,OP50-1,Lithgow,2021-10-11,0,1,0,0
50002860,LS_100421,manual_lifespan,OP50-1,Lithgow,2021-10-04,0,1,0,0
50002880,LS_100121,manual_lifespan,OP50-1,Lithgow,2021-10-01,0,1,1,1
50002900,PS_111221_SULF,manual_lifespan,OP50-1,Phillips,2021-11-12,0,1,1,1
50002920,PS_111221_ATRA,manual_lifespan,OP50-1,Phillips,2021-11-12,0,1,1,1
50002940,PS_111521,manual_lifespan,OP50-1,Phillips,2021-11-15,0,1,1,1
50002960,PS_101521,manual_lifespan,OP50-1,Phillips,2021-10-15,0,1,0,0
50002980,PC_102921_DR,manual_lifespan,OP50-1,Phillips,2021-10-29,0,1,0,0
50003000,PS_112621_SULF,manual_lifespan,OP50-1,Phillips,2021-11-26,0,1,1,1
50003020,PS_112621_ATRA,manual_lifespan,OP50-1,Phillips,2021-11-26,0,1,0,0
50003040,LS_100821,manual_lifespan,OP50-1,Lithgow,2021-10-08,0,1,1,1
50003060,PS_012222,manual_lifespan,OP50-1,Phillips,2022-01-22,0,1,1,1
50003080,PS_012822,manual_lifespan,OP50-1,Phillips,2022-01-28,0,1,1,1
50003100,PS_013122,manual_lifespan,OP50-1,Phillips,2022-01-31,0,1,1,1
50003140,PS_020722,manual_lifespan,OP50-1,Phillips,2022-02-07,0,1,1,1
50003160,PS_021422,manual_lifespan,OP50-1,Phillips,2022-02-14,0,1,1,1
50003200,DS_013122,manual_lifespan,OP50-1,Driscoll,2022-01-31,0,1,0,0
50003220,DS_012122,manual_lifespan,OP50-1,Driscoll,2022-01-21,0,1,0,0
50003240,DS_020722,manual_lifespan,OP50-1,Driscoll,2022-02-07,0,1,0,0
50003260,DS_102421,manual_lifespan,OP50-1,Driscoll,2021-10-24,0,1,0,0
50003300,PS_030422,manual_lifespan,OP50-1,Phillips,2022-03-04,0,1,0,0
50003320,DS_111421,manual_lifespan,OP50-1,Driscoll,2021-11-14,0,1,0,0
50003340,DS_112921,manual_lifespan,OP50-1,Driscoll,2021-11-29,0,1,0,0
50003360,DS_121321,manual_lifespan,OP50-1,Driscoll,2021-12-13,0,1,0,0
50003400,DS_013122B,manual_lifespan,OP50-1,Driscoll,2022-01-31,0,1,0,0
50003420,DS_011722,manual_lifespan,OP50-1,Driscoll,2022-01-17,0,1,0,0
50003440,DS_110121,manual_lifespan,OP50-1,Driscoll,2021-11-01,0,1,0,0
50003460,DS_011022,manual_lifespan,OP50-1,Driscoll,2022-01-10,0,1,0,0
50003500,DS_021422,manual_lifespan,OP50-1,Driscoll,2022-02-14,0,1,0,0
50003540,PS_032122_25C,manual_lifespan,OP50-1,Phillips,2022-03-21,0,1,0,0
50003560,PS_032522_25C,manual_lifespan,OP50-1,Phillips,2022-03-25,0,1,0,0
50003600,DS_032122,manual_lifespan,OP50-1,Driscoll,2022-03-21,0,1,0,0
50003620,DS_032122B,manual_lifespan,OP50-1,Driscoll,2022-03-21,0,1,0,0
50003640,DS_031422,manual_lifespan,OP50-1,Driscoll,2022-03-14,0,1,0,0
50003660,DS_032822,manual_lifespan,OP50-1,Driscoll,2022-03-28,0,1,0,0
50003700,PS_040822,manual_lifespan,OP50-1,Phillips,2022-04-08,0,1,1,1
50003720,PS_041522,manual_lifespan,OP50-1,Phillips,2022-04-15,0,1,1,1
50003740,PS_042922,manual_lifespan,OP50-1,Phillips,2022-04-29,0,1,1,1
50003780,PS_050622,manual_lifespan,OP50-1,Phillips,2022-05-06,0,1,1,1
50003820,DS_032822B,manual_lifespan,OP50-1,Driscoll,2022-03-28,0,1,0,0
50003860,DS_040422,manual_lifespan,OP50-1,Driscoll,2022-04-04,0,1,0,0
50003900,DS_041122,manual_lifespan,OP50-1,Driscoll,2022-04-11,0,1,0,0
50003920,DS_041122B,manual_lifespan,OP50-1,Driscoll,2022-04-11,0,1,0,0
50003940,LS_012122,manual_lifespan,OP50-1,Lithgow,2022-01-21,0,1,0,0
50003960,LS_020422,manual_lifespan,OP50-1,Lithgow,2022-02-04,0,1,0,0
50003980,LS_012822,manual_lifespan,OP50-1,Lithgow,2022-01-28,0,1,0,0
50004000,DS_041822,manual_lifespan,OP50-1,Driscoll,2022-04-18,0,1,0,0
50004060,DS_042522,manual_lifespan,OP50-1,Driscoll,2022-04-25,0,1,0,0
50004080,DS_032822C,manual_lifespan,OP50-1,Driscoll,2022-03-28,0,1,0,0
50004100,DS_050222,manual_lifespan,OP50-1,Driscoll,2022-05-02,0,1,0,0
50004180,LS_042922_sulf,manual_lifespan,OP50-1,Lithgow,2022-04-29,0,1,0,0
50004200,LS_041822,manual_lifespan,OP50-1,Lithgow,2022-04-18,0,1,0,0
50004220,LS_031022,manual_lifespan,OP50-1,Lithgow,2022-03-10,0,1,0,0
50004240,Willis_H2O2_assays,manual_lifespan,OP50-1,Phillips,2022-07-14,0,1,0,0
50004260,PS_060322_GLA,manual_lifespan,OP50-1,Phillips,2022-06-03,0,1,1,1
50004640,PS_060322,manual_lifespan,OP50-1,Phillips,2022-06-03,0,1,1,1
50004660,LS_042922,manual_lifespan,OP50-1,Lithgow,2022-04-29,0,1,0,0
50004720,PS_082922_DELETE,manual_lifespan,OP50-1,Phillips,2022-08-29,0,1,0,0
50004740,PS_061722,manual_lifespan,OP50-1,Phillips,2022-06-17,0,1,0,0
50004820,PS_070822,manual_lifespan,OP50-1,Phillips,2022-07-08,0,1,1,1
